,Space,Population,Contagtion,Scalar,Error
0,50,500,0.1,2.200000000000001,0.6565153823482225
1,50,500,0.15,1.8000000000000007,0.83999206825493
2,50,500,0.2,1.4500000000000004,0.9170271137678525
3,50,500,0.25,1.3000000000000003,0.9036448380112828
4,50,500,0.3,1.05,0.9531654932875044
5,50,500,0.35,1.0,0.9459113211893488
6,50,500,0.4,0.9,0.9752148118133548
7,50,500,0.45,0.8,0.9564688204585706
8,50,600,0.1,0.7000000000000001,0.9905036404741456
9,50,600,0.15,1.7750000000000006,0.8588264821534538
10,50,600,0.2,1.4000000000000004,0.9490940979121624
11,50,600,0.25,1.1500000000000001,0.9353011326770752
12,50,600,0.3,1.0,0.9933079377918564
13,50,600,0.35,0.95,0.9717521138097815
14,50,600,0.4,0.8,1.0083483018642605
15,50,600,0.45,0.7500000000000001,0.9820036679361628
16,50,700,0.1,0.7000000000000001,1.0334423245397721
17,50,700,0.15,1.6500000000000006,0.8924141638317534
18,50,700,0.2,1.3000000000000003,0.9565421812682533
19,50,700,0.25,1.1,0.9624612188909522
20,50,700,0.3,0.95,0.9939396433052533
21,50,700,0.35,0.8500000000000001,0.9972536805074369
22,50,700,0.4,0.725,1.0281560630752264
23,50,700,0.45,0.7000000000000001,1.010698075493112
24,50,800,0.1,0.6000000000000001,1.0351474497927189
25,50,800,0.15,1.6000000000000005,0.9172147953721351
26,50,800,0.2,1.2000000000000002,0.9765124552261297
27,50,800,0.25,1.05,0.9713085951203
28,50,800,0.3,0.9,1.029653844302452
29,50,800,0.35,0.8,1.0117011225128132
30,50,800,0.4,0.7000000000000001,1.045268570891679
31,50,800,0.45,0.6500000000000001,1.0257587952315088
32,75,500,0.1,0.5750000000000002,1.0474061867731823
33,75,500,0.15,2.200000000000001,0.6257164017205983
34,75,500,0.2,1.7125000000000008,0.7006467272030054
35,75,500,0.25,1.4500000000000004,0.7017428167263168
36,75,500,0.3,1.3000000000000003,0.77174738473597
37,75,500,0.35,1.1625,0.7721910296538994
38,75,500,0.4,1.075,0.8031132304165542
39,75,500,0.45,0.9249999999999999,0.7873974570113587
40,75,600,0.1,0.9,0.8302861231841389
41,75,600,0.15,2.200000000000001,0.6725103981467153
42,75,600,0.2,1.7125000000000008,0.7576053175270948
43,75,600,0.25,1.4250000000000005,0.7636519682290582
44,75,600,0.3,1.2625000000000002,0.8184533214641874
45,75,600,0.35,1.1500000000000001,0.8106697838347262
46,75,600,0.4,1.0,0.820378622202442
47,75,600,0.45,0.9,0.8162194412254924
48,75,700,0.1,0.8750000000000001,0.8693022443380358
49,75,700,0.15,1.9000000000000008,0.723243579929793
50,75,700,0.2,1.5500000000000005,0.7812931432790996
51,75,700,0.25,1.4125000000000005,0.8009763331128217
52,75,700,0.3,1.2000000000000002,0.8311782781138006
53,75,700,0.35,1.1,0.8388181993708415
54,75,700,0.4,1.0,0.8701703275962623
55,75,700,0.45,0.9,0.8516178655845235
56,75,800,0.1,0.8,0.8781098356378193
57,75,800,0.15,1.9000000000000008,0.7532054530779382
58,75,800,0.2,1.5500000000000005,0.8165640742360292
59,75,800,0.25,1.3500000000000003,0.8333345544516187
60,75,800,0.3,1.1500000000000001,0.864265370927976
61,75,800,0.35,1.05,0.8695246401916976
62,75,800,0.4,0.9,0.8997905611805045
63,75,800,0.45,0.85,0.8589259683451901
64,100,500,0.1,0.8,0.9028390418736997
65,100,500,0.15,2.4000000000000012,0.42535005885396315
66,100,500,0.2,2.0500000000000007,0.5221640241791768
67,100,500,0.25,1.737500000000001,0.515236824922695
68,100,500,0.3,1.5500000000000005,0.5583403717149805
69,100,500,0.35,1.3250000000000004,0.5874958170063962
70,100,500,0.4,1.2000000000000002,0.6338351245563074
71,100,500,0.45,1.05,0.5918520573859528
72,100,600,0.1,1.0,0.6437205138544815
73,100,600,0.15,2.4000000000000012,0.45387210950247786
